hole_id,prospect,sample_id,depth_from,depth_to,length,lith1,alt_1_type,alt_1_style,Au_ppm_preferred,Ag_ppm,Al_pct,As_ppm,B_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_pct,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_pct,Ga_ppm,Ge_ppm,Hf_ppm,Hg_ppm,In_ppm,K_pct,La_ppm,Li_ppm,Lu_ppm,Mg_pct,Mn_pct,Mo_ppm,Na_pct,Nb_ppm,Ni_ppm,P_pct,Pb_ppm,Rb_ppm,Re_ppm,S_pct,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_pct,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm
HOLE_049,Jerimum de Cima,105129,2.00,3.00,1.00,SAP,SAP,PV,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105130,3.00,4.00,1.00,SAP,SAP,PV,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105131,4.00,5.00,1.00,SAP,SAP,PV,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105132,5.00,6.00,1.00,SAP,SAP,PV,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105133,6.00,7.00,1.00,SAP,SAP,PV,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105134,7.00,8.00,1.00,DUMP,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105135,8.00,9.00,1.00,SAP,SAP,PV,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105136,9.00,10.00,1.00,SAP,SAP,PV,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105137,10.00,11.00,1.00,SAP,SAP,PV,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105138,11.00,12.00,1.00,SAP,SAP,PV,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105139,12.00,13.00,1.00,SAP,SAP,PV,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105140,13.00,14.00,1.00,SAP,SAP,PV,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105141,14.00,15.00,1.00,SAP,SAP,PV,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105142,15.00,16.00,1.00,SAP,SAP,PV,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105143,16.00,17.00,1.00,SAP,SAP,PV,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105144,17.00,18.00,1.00,SAP,SAP,PV,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105145,18.00,19.00,1.00,SAP,SAP,PV,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105146,19.00,20.00,1.00,SAP,SAP,PV,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105147,20.00,21.00,1.00,SAP,SAP,PV,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105148,21.00,22.00,1.00,SAP,SAP,PV,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105149,22.00,23.00,1.00,SAP,SAP,PV,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105150,23.00,24.00,1.00,SAP,SAP,PV,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105151,24.00,25.00,1.00,SAP,SAP,PV,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105152,25.00,26.00,1.00,SAP,SAP,PV,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105153,26.00,27.00,1.00,SAP,SAP,PV,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105154,27.00,28.00,1.00,SAP,SAP,PV,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105155,28.00,29.00,1.00,SAP,SAP,PV,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105156,29.00,30.00,1.00,SAP,SAP,PV,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105157,30.00,31.00,1.00,SAP,SAP,PV,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_049,Jerimum de Cima,105158,31.00,32.00,1.00,SAP,SAP,PV,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
